ids,name_repo,stargazers,watchers,forks,tamaño_kb,issues,network_size
16716513,https://github.com/smholloway/do-it-for-all-of-us,11,2,4,169,0,4
16652332,https://github.com/Nilhcem/android-websocket-example,11,3,16,1104,0,16
19153461,https://github.com/ameli/lcs,11,4,5,5667,2,5
18701857,https://github.com/mauroservienti/Conferences,11,3,5,9164,0,5
18736385,https://github.com/singlow/meteor-live-maps,11,4,5,9,4,5
16912210,https://github.com/frakbot/RomainGuyMuzei,11,4,5,28615,0,5
18687493,https://github.com/SCIInstitute/ShapeWorksStudio,11,16,5,64275,4,5
16658598,https://github.com/umisama/golog,11,3,2,132,0,2
19083482,https://github.com/geodatagouv/csw-client,11,5,3,337,0,3
18672796,https://github.com/cfjedimaster/BehanceAPI,11,2,2,143,1,2
18732298,https://github.com/joao-de-melo/jtwig-examples-old,11,10,4,149,1,4
16861437,https://github.com/JeniT/boundaries,11,1,2,190264,0,2
18677852,https://github.com/snipcart/snipcart-craft-webhooks-plugin,11,7,3,152,0,3
19075924,https://github.com/rjrodger/eraro,11,2,3,460,7,3
19316119,https://github.com/boomerdigital/spree_avatax_certified,11,11,46,10300,1,46
18687493,https://github.com/SCIInstitute/ShapeWorksStudio,11,16,5,64275,4,5
19404069,https://github.com/pkoperek/bytecode-presentation,11,0,0,2116,1,0
19195707,https://github.com/jbutewicz/Coursera-Functional-Programming-Principles-in-Scala,11,2,22,6424,0,22
19083482,https://github.com/geodatagouv/csw-client,11,5,3,337,0,3
18687493,https://github.com/SCIInstitute/ShapeWorksStudio,11,16,5,64275,4,5
19220224,https://github.com/rvaughn/cvs-fast-export,11,3,4,165,3,4
19260634,https://github.com/EmirWeb/liason,11,6,4,2117,0,4
19153461,https://github.com/ameli/lcs,11,4,5,5667,2,5
16716513,https://github.com/smholloway/do-it-for-all-of-us,11,2,4,169,0,4
17343268,https://github.com/Boelroy/ArrowPopupWindows,11,5,15,114,0,15
19016679,https://github.com/focuslight/focuslight-validator,11,4,1,225,0,1
18766373,https://github.com/sysart/ansible-jenkins-docker,11,22,2,164,0,2
18687233,https://github.com/akhld/heartbleed,11,4,12,114,0,12
16668887,https://github.com/hickmank/pyda,12,5,6,2028,11,6
19041285,https://github.com/acdha/python-phash,12,3,11,34,2,11
16805130,https://github.com/GavinFoo/DISQUS2DUOSHUO,12,1,1,140,0,1
19161552,https://github.com/trunkclub/styleguide,12,74,1,42,0,1
16890159,https://github.com/josiah-wolf-oberholtzer/consort,12,3,0,11415,0,0
16891381,https://github.com/dbisso/grunt-split-styles,12,1,3,252,2,3
18889876,https://github.com/Bug-Assassins/Galaxian,12,5,6,188,0,6
18822392,https://github.com/mikeash/MAParanoidAllocator,12,3,1,204,0,1
18942281,https://github.com/trinker/qdapTools,12,5,0,386,1,0
16655782,https://github.com/NodeBB-Community/nodebb-grunt,12,2,4,201,0,4
18822392,https://github.com/mikeash/MAParanoidAllocator,12,3,1,204,0,1
16916453,https://github.com/tapeinosyne/light-typedclojure,12,2,5,474,0,5
16805130,https://github.com/GavinFoo/DISQUS2DUOSHUO,12,1,1,140,0,1
19067692,https://github.com/crosswalk-project/crosswalk-android-extensions,12,24,21,3480,2,21
18887479,https://github.com/simonemainardi/pyspell,12,1,6,25,0,6
