ids,name_repo,lenguaje,stargazers,watchers,forks,tamaño_kb,issues,network_size,star_q1,star_gq2,star_gq3,star_gq4,fork_q1,fork_gq2,fork_gq3,fork_gq4
38472667,https://github.com/acdlite/redux-rx,JavaScript,1013,31,44,21,12,44,447.75,1.6516,1.2742,1.1812,24.0,1.8333,1.4545,1.375
409999750,https://github.com/nschloe/tiptop,Python,1102,8,48,2071,11,48,448.25,1.44,1.6042,1.1608,34.0,1.5882,1.4815,1.2
6327680,https://github.com/skeeto/skewer-mode,Emacs Lisp,1034,44,53,293,28,53,411.25,1.6085,1.3738,1.2479,28.0,1.9286,1.4815,1.325
21803233,https://github.com/dustingetz/react-cursor,JavaScript,1039,19,49,1735,10,49,716.5,1.2338,1.1657,1.1053,39.0,1.4872,1.3276,1.2468
151319446,https://github.com/google/mundane,Rust,1044,23,44,851,12,44,418.0,1.1268,2.3015,1.0554,21.0,1.8095,1.8684,1.2394
366097168,https://github.com/isl-org/PhotorealismEnhancement,Python,1057,78,61,61160,3,61,959.0,1.0667,1.0665,1.0605,46.0,1.5652,1.3333,1.2708
99199347,https://github.com/dreymonde/Time,Swift,1045,16,54,44,1,54,804.5,1.1883,1.0999,1.0889,31.5,1.746,1.4273,1.2994
198288319,https://github.com/dtolnay/async-trait,Rust,1092,11,51,486,14,51,533.0,1.3902,1.3077,1.2301,30.0,1.8,1.4444,1.3077
111926984,https://github.com/fashiontec/sewing-machines-app,,1062,4,1,3,0,1,355.75,1.8848,1.3516,1.2822,0,0,0,0
36608028,https://github.com/brick/money,PHP,1102,37,54,439,10,54,335.0,2.2478,1.3214,1.208,28.5,1.8596,1.4623,1.3677
359746576,https://github.com/vitling/acid-banger,TypeScript,1071,20,55,125,4,55,1066.5,1.0342,1.024,1.0367,70.5,1.2908,1.0934,1.0854
24662315,https://github.com/CocoaPods/cocoapods-deintegrate,Ruby,1061,17,49,271,4,49,411.25,1.752,1.3161,1.2244,27.5,1.8545,1.4608,1.3154
27646926,https://github.com/paz-sh/paz,Shell,1080,59,60,126,20,60,983.75,1.075,1.0593,1.0533,53.0,1.3585,1.2361,1.2135
22448498,https://github.com/lafikl/perfBar,JavaScript,1097,31,43,386,7,43,833.75,1.2708,1.0658,1.06,33.5,1.5821,1.3113,1.2374
77011446,https://github.com/MitMaro/git-interactive-rebase-tool,Rust,1099,14,34,9936,9,34,361.75,1.8023,1.4314,1.2848,18.0,1.8889,1.4706,1.32
8788466,https://github.com/jclem/gifify,Shell,1102,16,44,36,3,44,433.0,1.7067,1.3166,1.2354,23.0,1.913,1.4773,1.3231
83137867,https://github.com/Nightonke/Gitee,Swift,1104,20,46,19432,15,46,844.5,1.1995,1.0933,1.0871,36.0,1.5,1.3704,1.2432
44417239,https://github.com/littlebee/git-time-machine,CoffeeScript,1121,10,45,26610,44,45,896.75,1.1374,1.1037,1.0846,26.0,1.8462,1.4375,1.3043
52301805,https://github.com/ReactiveX/IxJS,TypeScript,1127,24,59,2371,33,59,482.0,1.4896,1.3663,1.2508,32.0,1.875,1.4667,1.3409
385298606,https://github.com/workos/awesome-developer-experience,,1136,26,51,235,6,51,961.25,1.0752,1.1284,1.0598,47.0,1.4043,1.2273,1.1852
26300986,https://github.com/vyapp/vy,Python,1132,36,52,8548,8,52,513.25,1.7526,1.2991,1.0543,35.0,1.8571,1.3154,1.193
66392769,https://github.com/bodil/eslint-config-cleanjs,JavaScript,1114,21,33,8,9,33,770.5,1.2245,1.173,1.0969,26.0,1.4615,1.3684,1.2692
28300862,https://github.com/humbug/humbug,PHP,1148,58,76,991,43,76,598.75,1.3704,1.3108,1.1604,47.0,1.766,1.4036,1.2876
5667699,https://github.com/substack/deep-freeze,JavaScript,1144,15,57,207,19,57,480.5,1.6358,1.3181,1.2008,28.0,1.9286,1.463,1.3165
77456467,https://github.com/olebedev/when,Go,1148,25,68,76,14,68,806.0,1.196,1.1898,1.0881,45.0,1.6,1.4028,1.2871
143766121,https://github.com/Phantas0s/devdash,Go,1157,12,27,48370,5,27,606.0,1.604,1.1852,1.0911,21.0,1.5238,1.3438,1.2558
65246886,https://github.com/146BC/StyleKit,Swift,1144,33,47,128,10,47,1039.5,1.0794,1.0539,1.052,36.0,1.7222,1.2581,1.2051
137313818,https://github.com/randy3k/Terminus,Python,1196,18,71,1008,160,71,518.0,1.5541,1.3006,1.2378,36.0,2.0,1.4722,1.3208
222357525,https://github.com/graceavery/tamagotchiTemp,,1173,42,57,35768,21,57,1092.0,1.0678,1.0497,1.04,68.5,1.2117,1.1747,1.1487
371753644,https://github.com/binji/pokegb,C++,1181,15,33,66,2,33,1146.0,1.0489,1.0347,1.0299,34.0,1.4706,1.16,1.1379
195340876,https://github.com/glimpse-editor/Glimpse,C,1176,39,54,389252,116,54,515.5,1.8371,1.2149,1.1091,31.0,1.8065,1.4464,1.3086
132044195,https://github.com/Yours3lf/rpi-vk-driver,C++,1192,85,67,3043,8,67,154.5,7.3981,1.0654,1.061,66.0,1.4394,1.2053,1.1703
283962671,https://github.com/glouw/paperview,C,1229,16,39,268,13,39,964.5,1.1426,1.1257,1.0713,48.0,1.25,1.15,1.1304
124099123,https://github.com/maticzav/emma-cli,TypeScript,1215,15,49,26280,43,49,844.25,1.236,1.1545,1.0915,28.5,1.7895,1.402,1.2867
131698648,https://github.com/blinker-iot/blinker-js,TypeScript,1229,5,8,181,1,8,421.0,1.9774,1.3135,1.2154,5.5,1.6364,1.3889,1.28
197915529,https://github.com/scanapi/scanapi,Python,1217,26,71,1661,38,71,341.25,1.5018,2.3278,1.1039,39.0,1.9744,1.3831,1.3333
42607033,https://github.com/bevacqua/promisees,JavaScript,1199,18,68,9658,2,68,887.0,1.1973,1.1097,1.1022,45.5,1.6484,1.42,1.277
297071139,https://github.com/haileys/doslinux,C,1240,36,38,110,15,38,821.5,1.0657,1.4814,1.0332,29.0,1.5517,1.4333,1.1783
114154762,https://github.com/roberthein/Ease,Swift,1242,19,45,82220,2,45,970.5,1.1226,1.1498,1.0712,28.0,1.7857,1.4,1.2857
29937635,https://github.com/standard/semistandard,JavaScript,1259,16,85,225,0,85,506.75,1.6586,1.3221,1.2229,41.5,2.0482,1.4647,1.3173
403368935,https://github.com/tubearchivist/tubearchivist,Python,1253,9,58,3839,15,58,631.0,1.3518,1.1635,1.3632,37.0,1.6216,1.45,1.3103
54535336,https://github.com/akshaykmr/hogwatch,JavaScript,1236,27,39,1368,4,39,1176.75,1.0478,1.0432,1.0387,36.0,1.3889,1.26,1.2063
132750134,https://github.com/leafac/kill-the-newsletter,JavaScript,1295,26,63,6442,5,63,313.75,1.8088,1.6762,1.4665,29.0,2.2069,1.4531,1.3333
252514002,https://github.com/wellyshen/react-cool-inview,TypeScript,1269,3,36,4953,11,36,785.0,1.2318,1.2249,1.1558,23.5,1.6596,1.3974,1.2844
93584426,https://github.com/manifold-systems/manifold,Java,1264,30,77,112133,36,77,625.5,1.3885,1.2922,1.2154,49.0,1.7143,1.4167,1.2773
391005419,https://github.com/RedisInsight/RedisInsight,TypeScript,1289,13,66,9944,69,66,177.0,1.9153,1.8835,2.1754,32.0,2.1875,1.4857,1.2692
110597280,https://github.com/dropbox/pyannotate,Python,1307,27,61,182,37,61,858.75,1.2105,1.1864,1.1409,43.0,1.5814,1.3971,1.2632
1587440,https://github.com/powder-rb/powder,Ruby,1304,16,67,180,16,67,807.0,1.2875,1.1809,1.1443,34.5,1.942,1.4851,1.3065
16052303,https://github.com/jalkoby/squasher,Ruby,1301,12,46,81,4,46,500.75,1.7923,1.3084,1.1931,25.5,1.8431,1.4574,1.3431
354515412,https://github.com/quackduck/devzat,Go,1319,6,74,550,10,74,345.0,1.2058,2.7692,1.2318,35.0,1.7714,1.7903,1.3333
17035253,https://github.com/sorellabs/fuck-you,JavaScript,1295,20,43,369,4,43,742.0,1.31,1.2582,1.1406,26.5,1.7736,1.3936,1.2824
98999731,https://github.com/enkimute/ganja.js,JavaScript,1321,32,90,6905,55,90,489.75,1.4181,1.7783,1.1506,49.0,1.8776,1.5109,1.295
379247713,https://github.com/NVlabs/alias-free-gan,,1338,355,44,11,0,44,716.75,1.7712,1.0801,1.0487,25.5,1.9216,1.449,1.2394
109186685,https://github.com/MicheleBertoli/react-automata,JavaScript,1337,25,59,465,14,59,819.0,1.3675,1.1527,1.1131,32.0,2.0,1.4062,1.2889
180954037,https://github.com/itchyny/gojq,Go,1350,20,55,1485,0,55,525.5,1.6137,1.3308,1.2849,26.5,2.2264,1.4153,1.3174
281023933,https://github.com/everestpipkin/tools-list,HTML,1372,40,52,693,7,52,400.0,2.8725,1.148,1.116,27.5,1.7091,1.7553,1.2606
313473412,https://github.com/nnethercote/perf-book,,1358,31,61,1785,0,61,1102.25,1.1272,1.0847,1.0818,55.5,1.3333,1.277,1.1852
40844023,https://github.com/gsamokovarov/jump,Go,1365,19,51,3273,1,51,528.5,1.5951,1.3233,1.3133,37.5,1.5733,1.3644,1.2671
116555732,https://github.com/lunaryorn/mdcat,Rust,1371,5,49,2615,10,49,481.5,1.8411,1.3139,1.2629,25.5,1.9216,1.4796,1.3241
45634141,https://github.com/nanopack/yoke,Go,1353,80,69,13378,10,69,1232.0,1.0633,1.0561,1.0502,57.0,1.4737,1.3214,1.2432
180151629,https://github.com/CPdogson/996action,,1380,59,69,4144,28,69,1203.5,1.1126,1.0556,1.047,61.0,1.5082,1.25,1.2
50557264,https://github.com/alpaca-lang/alpaca,Erlang,1384,61,53,1901,34,53,808.5,1.295,1.2278,1.1544,26.5,2.1509,1.3947,1.2579
12745404,https://github.com/mattn/gom,Go,1393,35,104,122,14,104,612.5,1.5641,1.2954,1.2031,51.0,1.9412,1.5455,1.3137
